".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"All"	"Q4"	64	64	5.3823521358233	7.35187630247797e-08	1.00252858670154e-07	"****"	"1e-07"
"values"	"All"	"Q3"	64	64	-0.126615474122785	0.899244748937121	0.899244748937121	"ns"	"0.899"
"values"	"All"	"Q2"	64	64	-5.58939630734483	2.27860382458183e-08	4.27238217109093e-08	"****"	"4.27e-08"
"values"	"All"	"Q1"	64	64	-5.76936547182125	7.95705694688688e-09	1.98926423672172e-08	"****"	"1.99e-08"
"values"	"All"	"Random"	64	64	-10.5194365607672	7.02926700909407e-26	2.63597512841028e-25	"****"	"2.64e-25"
"values"	"Q4"	"Q3"	64	64	-5.50896760994608	3.60944307140187e-08	6.01573845233645e-08	"****"	"6.02e-08"
"values"	"Q4"	"Q2"	64	64	-10.9717484431681	5.22520701098343e-28	2.61260350549172e-27	"****"	"2.61e-27"
"values"	"Q4"	"Q1"	64	64	-11.1517176076445	7.02373040621171e-29	5.26779780465879e-28	"****"	"5.27e-28"
"values"	"Q4"	"Random"	64	64	-15.9017886965905	6.15810548579304e-57	9.23715822868956e-56	"****"	"9.24e-56"
"values"	"Q3"	"Q2"	64	64	-5.46278083322205	4.68733165663156e-08	7.03099748494734e-08	"****"	"7.03e-08"
"values"	"Q3"	"Q1"	64	64	-5.64274999769846	1.67355272261037e-08	3.58618440559364e-08	"****"	"3.59e-08"
"values"	"Q3"	"Random"	64	64	-10.3928210866445	2.67326982882239e-25	8.01980948646718e-25	"****"	"8.02e-25"
"values"	"Q2"	"Q1"	64	64	-0.179969164476412	0.85717677609299	0.899244748937121	"ns"	"0.899"
"values"	"Q2"	"Random"	64	64	-4.93004025342241	8.22126750369425e-07	1.02765843796178e-06	"****"	"1.03e-06"
"values"	"Q1"	"Random"	64	64	-4.75007108894599	2.03345152111261e-06	2.34629021666839e-06	"****"	"2.35e-06"
