".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"All"	"Q4"	64	64	5.86811054787974	4.40789334870184e-09	9.44548574721823e-09	"****"	"9.45e-09"
"values"	"All"	"Q3"	64	64	-1.09653795961873	0.272843420816058	0.272843420816058	"ns"	"0.273"
"values"	"All"	"Q2"	64	64	-2.28146786805204	0.0225207759907887	0.0259855107586023	"*"	"0.026"
"values"	"All"	"Q1"	64	64	-4.71423727011101	2.42617823401732e-06	4.04363039002888e-06	"****"	"4.04e-06"
"values"	"All"	"Random"	64	64	-7.46075827426859	8.60259481839739e-14	3.22597305689902e-13	"****"	"3.23e-13"
"values"	"Q4"	"Q3"	64	64	-6.96464850749846	3.29224686621438e-12	9.87674059864314e-12	"****"	"9.88e-12"
"values"	"Q4"	"Q2"	64	64	-8.14957841593177	3.65195162636511e-16	1.82597581318256e-15	"****"	"1.83e-15"
"values"	"Q4"	"Q1"	64	64	-10.5823478179907	3.59826752361573e-26	2.6987006427118e-25	"****"	"2.7e-25"
"values"	"Q4"	"Random"	64	64	-13.3288688221483	1.5726410139787e-40	2.35896152096805e-39	"****"	"2.36e-39"
"values"	"Q3"	"Q2"	64	64	-1.18492990843331	0.236045160975654	0.252905529616772	"ns"	"0.253"
"values"	"Q3"	"Q1"	64	64	-3.61769931049229	0.000297233424018029	0.000445850136027043	"***"	"0.000446"
"values"	"Q3"	"Random"	64	64	-6.36422031464987	1.96284230534874e-10	4.90710576337185e-10	"****"	"4.91e-10"
"values"	"Q2"	"Q1"	64	64	-2.43276940205898	0.014983840194114	0.0187298002426425	"*"	"0.0187"
"values"	"Q2"	"Random"	64	64	-5.17929040621656	2.2273150343885e-07	4.17621568947844e-07	"****"	"4.18e-07"
"values"	"Q1"	"Random"	64	64	-2.74652100415758	0.00602310291500749	0.0082133221568284	"**"	"0.00821"
