".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"All"	"Q4"	64	64	5.72477164588183	1.035729591696e-08	1.94199298443001e-08	"****"	"1.94e-08"
"values"	"All"	"Q3"	64	64	-0.428422193001033	0.668343769877138	0.668343769877138	"ns"	"0.668"
"values"	"All"	"Q2"	64	64	-2.95913916206662	0.00308499753764704	0.0038562469220588	"**"	"0.00386"
"values"	"All"	"Q1"	64	64	-4.72857059858761	2.26106006561843e-06	3.76843344269739e-06	"****"	"3.77e-06"
"values"	"All"	"Random"	64	64	-9.33371101145931	1.02227513637282e-20	5.11137568186408e-20	"****"	"5.11e-20"
"values"	"Q4"	"Q3"	64	64	-6.15319383888287	7.59378968516231e-10	1.62724064682049e-09	"****"	"1.63e-09"
"values"	"Q4"	"Q2"	64	64	-8.68391080794845	3.82388679635681e-18	1.14716603890704e-17	"****"	"1.15e-17"
"values"	"Q4"	"Q1"	64	64	-10.4533422444694	1.41450722477317e-25	1.06088041857988e-24	"****"	"1.06e-24"
"values"	"Q4"	"Random"	64	64	-15.0584826573411	3.03677033184646e-51	4.55515549776969e-50	"****"	"4.56e-50"
"values"	"Q3"	"Q2"	64	64	-2.53071696906558	0.0113829659182512	0.013134191444136	"*"	"0.0131"
"values"	"Q3"	"Q1"	64	64	-4.30014840558658	1.70683769137392e-05	2.32750594278262e-05	"****"	"2.33e-05"
"values"	"Q3"	"Random"	64	64	-8.90528881845828	5.32472305371809e-19	1.99677114514428e-18	"****"	"2e-18"
"values"	"Q2"	"Q1"	64	64	-1.769431436521	0.0768219033224414	0.0823091821311873	"ns"	"0.0823"
"values"	"Q2"	"Random"	64	64	-6.37457184939269	1.83474786522021e-10	4.58686966305052e-10	"****"	"4.59e-10"
"values"	"Q1"	"Random"	64	64	-4.6051404128717	4.12187648218928e-06	6.18281472328392e-06	"****"	"6.18e-06"
