".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"cl1"	"cl2"	64	64	9.17683474082374	4.43948866586853e-20	1.6648082497007e-19	"****"	"1.66e-19"
"values"	"cl1"	"cl3"	64	64	4.57408354315269	4.78308971562517e-06	6.52239506676159e-06	"****"	"6.52e-06"
"values"	"cl1"	"cl4"	64	64	14.3242713743438	1.54338285978629e-46	2.31507428967944e-45	"****"	"2.32e-45"
"values"	"cl1"	"cl5"	64	64	1.17218854030654	0.241121368277418	0.241121368277418	"ns"	"0.241"
"values"	"cl1"	"cl6"	64	64	7.77211966942379	7.71834763352876e-15	1.92958690838219e-14	"****"	"1.93e-14"
"values"	"cl2"	"cl3"	64	64	-4.60275119767106	4.16946209502092e-06	6.25419314253138e-06	"****"	"6.25e-06"
"values"	"cl2"	"cl4"	64	64	5.14743663352002	2.64070165073748e-07	4.40116941789579e-07	"****"	"4.4e-07"
"values"	"cl2"	"cl5"	64	64	-8.00464620051721	1.19810635371025e-15	3.59431906113076e-15	"****"	"3.59e-15"
"values"	"cl2"	"cl6"	64	64	-1.40471507139996	0.160106022270226	0.171542166718099	"ns"	"0.172"
"values"	"cl3"	"cl4"	64	64	9.75018783119107	1.84127273492962e-22	9.20636367464808e-22	"****"	"9.21e-22"
"values"	"cl3"	"cl5"	64	64	-3.40189500284615	0.000669203429020053	0.000836504286275066	"***"	"0.000837"
"values"	"cl3"	"cl6"	64	64	3.1980361262711	0.00138366945173506	0.00159654167507891	"**"	"0.0016"
"values"	"cl4"	"cl5"	64	64	-13.1520828340372	1.655504603321e-39	1.24162845249075e-38	"****"	"1.24e-38"
"values"	"cl4"	"cl6"	64	64	-6.55215170491997	5.6713882017941e-11	1.06338528783639e-10	"****"	"1.06e-10"
"values"	"cl5"	"cl6"	64	64	6.59993112911725	4.11348829047078e-11	8.81461776529453e-11	"****"	"8.81e-11"
