".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"cl1"	"cl2"	64	64	2.81181911400977	0.00492621980753961	0.00738932971130941	"**"	"0.00739"
"values"	"cl1"	"cl3"	64	64	-1.36091726588578	0.173539836506837	0.200238272892504	"ns"	"0.2"
"values"	"cl1"	"cl4"	64	64	9.14418546762227	6.00809094094301e-20	3.0040454704715e-19	"****"	"3e-19"
"values"	"cl1"	"cl5"	64	64	-2.2217432251734	0.026300663565185	0.0328758294564813	"*"	"0.0329"
"values"	"cl1"	"cl6"	64	64	2.2480219084819	0.0245747929479499	0.0328758294564813	"*"	"0.0329"
"values"	"cl2"	"cl3"	64	64	-4.17273637989556	3.00963095291335e-05	5.64305803671253e-05	"****"	"5.64e-05"
"values"	"cl2"	"cl4"	64	64	6.3323663536125	2.41429388185197e-10	7.24288164555592e-10	"****"	"7.24e-10"
"values"	"cl2"	"cl5"	64	64	-5.03356233918317	4.81448154313879e-07	1.2036203857847e-06	"****"	"1.2e-06"
"values"	"cl2"	"cl6"	64	64	-0.563797205527873	0.572892153831768	0.572892153831768	"ns"	"0.573"
"values"	"cl3"	"cl4"	64	64	10.5051027335081	8.18336466912706e-26	6.13752350184529e-25	"****"	"6.14e-25"
"values"	"cl3"	"cl5"	64	64	-0.860825959287614	0.389333905320025	0.417143469985741	"ns"	"0.417"
"values"	"cl3"	"cl6"	64	64	3.60893917436769	0.000307451680233308	0.000512419467055513	"***"	"0.000512"
"values"	"cl4"	"cl5"	64	64	-11.3659286927957	6.1803644655953e-30	9.27054669839295e-29	"****"	"9.27e-29"
"values"	"cl4"	"cl6"	64	64	-6.89616355914037	5.34256813130554e-12	2.00346304923958e-11	"****"	"2e-11"
"values"	"cl5"	"cl6"	64	64	4.4697651336553	7.83055364502373e-06	1.67797578107651e-05	"****"	"1.68e-05"
