".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"cl1"	"cl2"	64	64	5.47313333177714	4.42147188238693e-08	9.47458260511485e-08	"****"	"9.47e-08"
"values"	"cl1"	"cl3"	64	64	3.37641282216428	0.000734376405272725	0.00100142237082644	"**"	"0.001"
"values"	"cl1"	"cl4"	64	64	11.4272462259569	3.05648661542834e-30	2.29236496157126e-29	"****"	"2.29e-29"
"values"	"cl1"	"cl5"	64	64	-1.21200479135237	0.225510546547995	0.241618442729995	"ns"	"0.242"
"values"	"cl1"	"cl6"	64	64	3.61610627958679	0.000299067628240196	0.000448601442360295	"***"	"0.000449"
"values"	"cl2"	"cl3"	64	64	-2.09672050961286	0.0360183238474647	0.0450229048093309	"*"	"0.045"
"values"	"cl2"	"cl4"	64	64	5.95411289417978	2.61486262917897e-09	6.53715657294743e-09	"****"	"6.54e-09"
"values"	"cl2"	"cl5"	64	64	-6.6851381231295	2.30706941249562e-11	6.92120823748687e-11	"****"	"6.92e-11"
"values"	"cl2"	"cl6"	64	64	-1.85702705219035	0.0633073054151968	0.0730468908636886	"ns"	"0.073"
"values"	"cl3"	"cl4"	64	64	8.05083340379265	8.22321410282643e-16	4.11160705141322e-15	"****"	"4.11e-15"
"values"	"cl3"	"cl5"	64	64	-4.58841761351664	4.46618500518341e-06	7.44364167530568e-06	"****"	"7.44e-06"
"values"	"cl3"	"cl6"	64	64	0.239693457422511	0.810567907335143	0.810567907335143	"ns"	"0.811"
"values"	"cl4"	"cl5"	64	64	-12.6392510173093	1.28269974607974e-36	1.92404961911962e-35	"****"	"1.92e-35"
"values"	"cl4"	"cl6"	64	64	-7.81113994637014	5.66730445019638e-15	2.12523916882364e-14	"****"	"2.13e-14"
"values"	"cl5"	"cl6"	64	64	4.82811107093915	1.37834213905719e-06	2.58439151073222e-06	"****"	"2.58e-06"
