.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	p.adj.formatted
values	WT	DPRE2	172	38	-12.2108002376542	2.72198642233631e-34	2.04148981675223e-33	****	2.04e-33
values	WT	Vir	172	129	-3.07672823516403	0.00209286013871206	0.00261607517339008	**	0.00262
values	WT	2xPRE1	172	49	-3.57101566808862	0.000355599619936844	0.000484908572641151	***	0.000485
values	WT	Fab7	172	60	-12.2467169202075	1.74935375305825e-34	2.04148981675223e-33	****	2.04e-33
values	WT	en	172	84	-10.2565682743704	1.10566416449468e-24	5.5283208224734e-24	****	5.53e-24
values	DPRE2	Vir	38	129	9.91688267633704	3.51564921441185e-23	1.31836845540444e-22	****	1.32e-22
values	DPRE2	2xPRE1	38	49	7.45057035402758	9.29375634680989e-14	2.32343908670247e-13	****	2.32e-13
values	DPRE2	Fab7	38	60	1.70045441372455	0.0890454841430663	0.0954058758675711	ns	0.0954
values	DPRE2	en	38	84	4.21220409249185	2.52890887955773e-05	3.79336331933659e-05	****	3.79e-05
values	Vir	2xPRE1	129	49	-1.31046303865773	0.190039240116514	0.190039240116514	ns	0.19
values	Vir	Fab7	129	60	-9.45743304645588	3.15595423468216e-21	9.46786270404647e-21	****	9.47e-21
values	Vir	en	129	84	-7.18186243751078	6.87680977794435e-13	1.47360209527379e-12	****	1.47e-12
values	2xPRE1	Fab7	49	60	-6.5331827979312	6.43864775617245e-11	1.20724645428234e-10	****	1.21e-10
values	2xPRE1	en	49	84	-4.37814031215498	1.19696283949465e-05	1.99493806582442e-05	****	1.99e-05
values	Fab7	en	60	84	2.78616212296929	0.00533361887561017	0.00615417562570405	**	0.00615
