chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	30.6466674804688
chr2L	16323000	16326000	chr2L	16321000	16323000	26.5669078826904
chr2L	16326000	16329000	chr2L	16321000	16323000	2.76740336418152
chr2L	16329000	16332000	chr2L	16321000	16323000	-14.0799999237061
chr2L	16332000	16335000	chr2L	16321000	16323000	-13.5178575515747
chr2L	16335000	16338000	chr2L	16321000	16323000	-2.61428570747375
chr2L	16338000	16341000	chr2L	16321000	16323000	-11.3913583755493
chr2L	16341000	16344000	chr2L	16321000	16323000	-9.49726009368896
chr2L	16344000	16347000	chr2L	16321000	16323000	-12.337287902832
chr2L	16347000	16350000	chr2L	16321000	16323000	1.13777780532837
chr2L	16350000	16353000	chr2L	16321000	16323000	15.2937498092651
chr2L	16353000	16356000	chr2L	16321000	16323000	0.353125035762787
chr2L	16356000	16359000	chr2L	16321000	16323000	-19.0928573608398
chr2L	16359000	16362000	chr2L	16321000	16323000	-35.447826385498
chr2L	16362000	16365000	chr2L	16321000	16323000	-39.1100006103516
chr2L	16365000	16368000	chr2L	16321000	16323000	-38.8400001525879
chr2L	16368000	16371000	chr2L	16321000	16323000	-39.1714286804199
chr2L	16371000	16374000	chr2L	16321000	16323000	-41.3285713195801
chr2L	16374000	16377000	chr2L	16321000	16323000	-44.0466651916504
chr2L	16377000	16380000	chr2L	16321000	16323000	-44.4199981689453
chr2L	16380000	16383000	chr2L	16321000	16323000	-45.6124992370605
chr2L	16383000	16386000	chr2L	16321000	16323000	-44.4076919555664
chr2L	16386000	16389000	chr2L	16321000	16323000	-40.1428565979004
chr2L	16389000	16392000	chr2L	16321000	16323000	-41.0999984741211
chr2L	16392000	16395000	chr2L	16321000	16323000	-46.9636383056641
chr2L	16395000	16398000	chr2L	16321000	16323000	-49.7333335876465
chr2L	16398000	16401000	chr2L	16321000	16323000	-46.6285705566406
chr2L	16401000	16404000	chr2L	16321000	16323000	-40.4285736083984
chr2L	16404000	16407000	chr2L	16321000	16323000	-38.3181838989258
chr2L	16407000	16410000	chr2L	16321000	16323000	-34.0111122131348
chr2L	16410000	16413000	chr2L	16321000	16323000	-25.5071430206299
chr2L	16413000	16416000	chr2L	16321000	16323000	-19.9750003814697
chr2L	16416000	16419000	chr2L	16321000	16323000	-23.6384620666504
chr2L	16419000	16422000	chr2L	16321000	16323000	-31.9200000762939
chr2L	16422000	16425000	chr2L	16321000	16323000	-46.0200004577637
chr2L	16425000	16428000	chr2L	16321000	16323000	-45.9142875671387
chr2L	16428000	16431000	chr2L	16321000	16323000	-47.5
chr2L	16431000	16434000	chr2L	16321000	16323000	-41.2333335876465
chr2L	16434000	16437000	chr2L	16321000	16323000	-37.6636352539062
chr2L	16437000	16440000	chr2L	16321000	16323000	-31.2333335876465
chr2L	16440000	16443000	chr2L	16321000	16323000	-30.6500015258789
chr2L	16443000	16446000	chr2L	16321000	16323000	-31.3000011444092
chr2L	16446000	16449000	chr2L	16321000	16323000	-25.5636367797852
chr2L	16449000	16452000	chr2L	16321000	16323000	-26.4777774810791
chr2L	16452000	16455000	chr2L	16321000	16323000	-25.1333332061768
chr2L	16455000	16458000	chr2L	16321000	16323000	-27.5999984741211
chr2L	16458000	16461000	chr2L	16321000	16323000	-32.7750015258789
chr2L	16461000	16464000	chr2L	16321000	16323000	-28.3333320617676
chr2L	16464000	16467000	chr2L	16321000	16323000	-18.9777774810791
chr2L	16467000	16470000	chr2L	16321000	16323000	-17.8099994659424
chr2L	16470000	16473000	chr2L	16321000	16323000	-13.2666664123535
chr2L	16473000	16476000	chr2L	16321000	16323000	-15.5249996185303
chr2L	16476000	16479000	chr2L	16321000	16323000	-14.1000003814697
chr2L	16479000	16482000	chr2L	16321000	16323000	-14.8374996185303
chr2L	16482000	16485000	chr2L	16321000	16323000	-11.9499998092651
chr2L	16485000	16488000	chr2L	16321000	16323000	-0.422222286462784
chr2L	16488000	16491000	chr2L	16321000	16323000	16.716667175293
chr2L	16491000	16494000	chr2L	16321000	16323000	16.5625
chr2L	16494000	16497000	chr2L	16321000	16323000	19.0083332061768
chr2L	16497000	16500000	chr2L	16321000	16323000	11.5874996185303
chr2L	16500000	16503000	chr2L	16321000	16323000	-5.32499980926514
chr2L	16503000	16506000	chr2L	16321000	16323000	-11.0666666030884
chr2L	16506000	16509000	chr2L	16321000	16323000	-20.4500007629395
chr2L	16509000	16512000	chr2L	16321000	16323000	-31.5
chr2L	16321000	16323000	chr2L	16323000	16326000	26.5669078826904
chr2L	16323000	16326000	chr2L	16323000	16326000	24.2209148406982
chr2L	16326000	16329000	chr2L	16323000	16326000	21.8525733947754
chr2L	16329000	16332000	chr2L	16323000	16326000	-0.300000011920929
chr2L	16332000	16335000	chr2L	16323000	16326000	-9.69933319091797
chr2L	16335000	16338000	chr2L	16323000	16326000	-15.400918006897
chr2L	16338000	16341000	chr2L	16323000	16326000	-7.97029685974121
chr2L	16341000	16344000	chr2L	16323000	16326000	-2.42727279663086
chr2L	16344000	16347000	chr2L	16323000	16326000	5.90106391906738
chr2L	16347000	16350000	chr2L	16323000	16326000	19.6185188293457
chr2L	16350000	16353000	chr2L	16323000	16326000	39.8819160461426
chr2L	16353000	16356000	chr2L	16323000	16326000	24.9854164123535
chr2L	16356000	16359000	chr2L	16323000	16326000	3.32666683197021
chr2L	16359000	16362000	chr2L	16323000	16326000	-30.1749992370605
chr2L	16362000	16365000	chr2L	16323000	16326000	-40.9000015258789
chr2L	16365000	16368000	chr2L	16323000	16326000	-37.7214279174805
chr2L	16368000	16371000	chr2L	16323000	16326000	-38.4142875671387
chr2L	16371000	16374000	chr2L	16323000	16326000	-42.1399993896484
chr2L	16374000	16377000	chr2L	16323000	16326000	-44.9235305786133
chr2L	16377000	16380000	chr2L	16323000	16326000	-45.482608795166
