chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	18.6000003814697
chr2L	16323000	16326000	chr2L	16321000	16323000	16.533332824707
chr2L	16326000	16329000	chr2L	16321000	16323000	-10.3333330154419
chr2L	16329000	16332000	chr2L	16321000	16323000	-14.75
chr2L	16332000	16335000	chr2L	16321000	16323000	-11.6000003814697
chr2L	16335000	16338000	chr2L	16321000	16323000	20.4300003051758
chr2L	16338000	16341000	chr2L	16321000	16323000	22.1199989318848
chr2L	16341000	16344000	chr2L	16321000	16323000	24.9249992370605
chr2L	16344000	16347000	chr2L	16321000	16323000	29.622220993042
chr2L	16347000	16350000	chr2L	16321000	16323000	30.1000003814697
chr2L	16350000	16353000	chr2L	16321000	16323000	22.7999992370605
chr2L	16353000	16356000	chr2L	16321000	16323000	20.5
chr2L	16356000	16359000	chr2L	16321000	16323000	-8
chr2L	16359000	16362000	chr2L	16321000	16323000	-18.8999996185303
chr2L	16362000	16365000	chr2L	16321000	16323000	0
chr2L	16365000	16368000	chr2L	16321000	16323000	-31.3000011444092
chr2L	16368000	16371000	chr2L	16321000	16323000	-43.7000007629395
chr2L	16371000	16374000	chr2L	16321000	16323000	-44.9000015258789
chr2L	16374000	16377000	chr2L	16321000	16323000	-46.0999984741211
chr2L	16377000	16380000	chr2L	16321000	16323000	0
chr2L	16380000	16383000	chr2L	16321000	16323000	-47.75
chr2L	16383000	16386000	chr2L	16321000	16323000	-45.9000015258789
chr2L	16386000	16389000	chr2L	16321000	16323000	0
chr2L	16389000	16392000	chr2L	16321000	16323000	-47.0999984741211
chr2L	16392000	16395000	chr2L	16321000	16323000	0
chr2L	16395000	16398000	chr2L	16321000	16323000	-50
chr2L	16398000	16401000	chr2L	16321000	16323000	-51.7999992370605
chr2L	16401000	16404000	chr2L	16321000	16323000	0
chr2L	16404000	16407000	chr2L	16321000	16323000	-46
chr2L	16407000	16410000	chr2L	16321000	16323000	0
chr2L	16410000	16413000	chr2L	16321000	16323000	0
chr2L	16413000	16416000	chr2L	16321000	16323000	0
chr2L	16416000	16419000	chr2L	16321000	16323000	0
chr2L	16419000	16422000	chr2L	16321000	16323000	-45.5
chr2L	16422000	16425000	chr2L	16321000	16323000	0
chr2L	16425000	16428000	chr2L	16321000	16323000	0
chr2L	16428000	16431000	chr2L	16321000	16323000	0
chr2L	16431000	16434000	chr2L	16321000	16323000	0
chr2L	16434000	16437000	chr2L	16321000	16323000	0
chr2L	16437000	16440000	chr2L	16321000	16323000	-24.8999996185303
chr2L	16440000	16443000	chr2L	16321000	16323000	-20
chr2L	16443000	16446000	chr2L	16321000	16323000	0
chr2L	16446000	16449000	chr2L	16321000	16323000	-19
chr2L	16449000	16452000	chr2L	16321000	16323000	0
chr2L	16452000	16455000	chr2L	16321000	16323000	-17.6000003814697
chr2L	16455000	16458000	chr2L	16321000	16323000	-15.8000001907349
chr2L	16458000	16461000	chr2L	16321000	16323000	0
chr2L	16461000	16464000	chr2L	16321000	16323000	-16.2000007629395
chr2L	16464000	16467000	chr2L	16321000	16323000	0
chr2L	16467000	16470000	chr2L	16321000	16323000	0
chr2L	16470000	16473000	chr2L	16321000	16323000	0
chr2L	16473000	16476000	chr2L	16321000	16323000	0
chr2L	16476000	16479000	chr2L	16321000	16323000	-8.10000038146973
chr2L	16479000	16482000	chr2L	16321000	16323000	-8.30000019073486
chr2L	16482000	16485000	chr2L	16321000	16323000	0
chr2L	16485000	16488000	chr2L	16321000	16323000	0
chr2L	16488000	16491000	chr2L	16321000	16323000	15.1000003814697
chr2L	16491000	16494000	chr2L	16321000	16323000	0
chr2L	16494000	16497000	chr2L	16321000	16323000	11.7999992370605
chr2L	16497000	16500000	chr2L	16321000	16323000	0
chr2L	16500000	16503000	chr2L	16321000	16323000	0
chr2L	16503000	16506000	chr2L	16321000	16323000	0
chr2L	16506000	16509000	chr2L	16321000	16323000	0
chr2L	16509000	16512000	chr2L	16321000	16323000	9.30000019073486
chr2L	16321000	16323000	chr2L	16323000	16326000	16.533332824707
chr2L	16323000	16326000	chr2L	16323000	16326000	17.2000007629395
chr2L	16326000	16329000	chr2L	16323000	16326000	11.7066669464111
chr2L	16329000	16332000	chr2L	16323000	16326000	9.37142848968506
chr2L	16332000	16335000	chr2L	16323000	16326000	17.6909084320068
chr2L	16335000	16338000	chr2L	16323000	16326000	25.8999996185303
chr2L	16338000	16341000	chr2L	16323000	16326000	26.9272727966309
chr2L	16341000	16344000	chr2L	16323000	16326000	27.5375003814697
chr2L	16344000	16347000	chr2L	16323000	16326000	34.2555541992188
chr2L	16347000	16350000	chr2L	16323000	16326000	40.7111129760742
chr2L	16350000	16353000	chr2L	16323000	16326000	26.6499996185303
chr2L	16353000	16356000	chr2L	16323000	16326000	6.53333330154419
chr2L	16356000	16359000	chr2L	16323000	16326000	-10.4375
chr2L	16359000	16362000	chr2L	16323000	16326000	-18.1333332061768
chr2L	16362000	16365000	chr2L	16323000	16326000	-19.1000003814697
chr2L	16365000	16368000	chr2L	16323000	16326000	-32
chr2L	16368000	16371000	chr2L	16323000	16326000	-43.0999984741211
chr2L	16371000	16374000	chr2L	16323000	16326000	-46.0999984741211
chr2L	16374000	16377000	chr2L	16323000	16326000	-46.7400016784668
chr2L	16377000	16380000	chr2L	16323000	16326000	-49.5499992370605
chr2L	16380000	16383000	chr2L	16323000	16326000	-42.7000007629395
chr2L	16383000	16386000	chr2L	16323000	16326000	-44.4000015258789
chr2L	16386000	16389000	chr2L	16323000	16326000	-42.1500015258789
chr2L	16389000	16392000	chr2L	16323000	16326000	-45.5666656494141
chr2L	16392000	16395000	chr2L	16323000	16326000	-46.7000007629395
chr2L	16395000	16398000	chr2L	16323000	16326000	0
chr2L	16398000	16401000	chr2L	16323000	16326000	-48.2999992370605
chr2L	16401000	16404000	chr2L	16323000	16326000	-45.966667175293
chr2L	16404000	16407000	chr2L	16323000	16326000	-46.5
chr2L	16407000	16410000	chr2L	16323000	16326000	0
chr2L	16410000	16413000	chr2L	16323000	16326000	0
chr2L	16413000	16416000	chr2L	16323000	16326000	-42.2999992370605
chr2L	16416000	16419000	chr2L	16323000	16326000	0
chr2L	16419000	16422000	chr2L	16323000	16326000	0
chr2L	16422000	16425000	chr2L	16323000	16326000	-36.4000015258789
chr2L	16425000	16428000	chr2L	16323000	16326000	-31.8999996185303
chr2L	16428000	16431000	chr2L	16323000	16326000	0
chr2L	16431000	16434000	chr2L	16323000	16326000	-32.9000015258789
chr2L	16434000	16437000	chr2L	16323000	16326000	-35.3000030517578
chr2L	16437000	16440000	chr2L	16323000	16326000	-32.0999984741211
chr2L	16440000	16443000	chr2L	16323000	16326000	-20.4500007629395
chr2L	16443000	16446000	chr2L	16323000	16326000	-18.3999996185303
