chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	17.6000003814697
chr2L	16323000	16326000	chr2L	16321000	16323000	17.1272735595703
chr2L	16326000	16329000	chr2L	16321000	16323000	7.40000009536743
chr2L	16329000	16332000	chr2L	16321000	16323000	-10.6931037902832
chr2L	16332000	16335000	chr2L	16321000	16323000	-12.8238096237183
chr2L	16335000	16338000	chr2L	16321000	16323000	-23.1000003814697
chr2L	16338000	16341000	chr2L	16321000	16323000	-21.5947360992432
chr2L	16341000	16344000	chr2L	16321000	16323000	-18.991304397583
chr2L	16344000	16347000	chr2L	16321000	16323000	-12.9764709472656
chr2L	16347000	16350000	chr2L	16321000	16323000	-7.66428565979004
chr2L	16350000	16353000	chr2L	16321000	16323000	-15.1333332061768
chr2L	16353000	16356000	chr2L	16321000	16323000	-23.1666660308838
chr2L	16356000	16359000	chr2L	16321000	16323000	-30.5
chr2L	16359000	16362000	chr2L	16321000	16323000	-38.4199981689453
chr2L	16362000	16365000	chr2L	16321000	16323000	-36.0999984741211
chr2L	16365000	16368000	chr2L	16321000	16323000	-40
chr2L	16368000	16371000	chr2L	16321000	16323000	-37.7000007629395
chr2L	16371000	16374000	chr2L	16321000	16323000	-40.1571426391602
chr2L	16374000	16377000	chr2L	16321000	16323000	-38.3400001525879
chr2L	16377000	16380000	chr2L	16321000	16323000	-35.0999984741211
chr2L	16380000	16383000	chr2L	16321000	16323000	-35.2999992370605
chr2L	16383000	16386000	chr2L	16321000	16323000	-35.2999992370605
chr2L	16386000	16389000	chr2L	16321000	16323000	-38.0499992370605
chr2L	16389000	16392000	chr2L	16321000	16323000	-38.25
chr2L	16392000	16395000	chr2L	16321000	16323000	-46.7000007629395
chr2L	16395000	16398000	chr2L	16321000	16323000	0
chr2L	16398000	16401000	chr2L	16321000	16323000	-41.2999992370605
chr2L	16401000	16404000	chr2L	16321000	16323000	-33.0499992370605
chr2L	16404000	16407000	chr2L	16321000	16323000	-32.2000007629395
chr2L	16407000	16410000	chr2L	16321000	16323000	-28.2000007629395
chr2L	16410000	16413000	chr2L	16321000	16323000	-30.8999996185303
chr2L	16413000	16416000	chr2L	16321000	16323000	0
chr2L	16416000	16419000	chr2L	16321000	16323000	-41.9000015258789
chr2L	16419000	16422000	chr2L	16321000	16323000	-45.9000015258789
chr2L	16422000	16425000	chr2L	16321000	16323000	-42.3000030517578
chr2L	16425000	16428000	chr2L	16321000	16323000	-43.4333343505859
chr2L	16428000	16431000	chr2L	16321000	16323000	0
chr2L	16431000	16434000	chr2L	16321000	16323000	0
chr2L	16434000	16437000	chr2L	16321000	16323000	-38.7999992370605
chr2L	16437000	16440000	chr2L	16321000	16323000	-38.7000007629395
chr2L	16440000	16443000	chr2L	16321000	16323000	-30.5999984741211
chr2L	16443000	16446000	chr2L	16321000	16323000	-28.2999992370605
chr2L	16446000	16449000	chr2L	16321000	16323000	-28.4333324432373
chr2L	16449000	16452000	chr2L	16321000	16323000	-24.7399997711182
chr2L	16452000	16455000	chr2L	16321000	16323000	-22.0750007629395
chr2L	16455000	16458000	chr2L	16321000	16323000	-22.2999992370605
chr2L	16458000	16461000	chr2L	16321000	16323000	-18.7999992370605
chr2L	16461000	16464000	chr2L	16321000	16323000	-19
chr2L	16464000	16467000	chr2L	16321000	16323000	-18.4750003814697
chr2L	16467000	16470000	chr2L	16321000	16323000	-19.6000003814697
chr2L	16470000	16473000	chr2L	16321000	16323000	-15.3000001907349
chr2L	16473000	16476000	chr2L	16321000	16323000	-12.6000003814697
chr2L	16476000	16479000	chr2L	16321000	16323000	-0.766666650772095
chr2L	16479000	16482000	chr2L	16321000	16323000	3.51999998092651
chr2L	16482000	16485000	chr2L	16321000	16323000	10.6499996185303
chr2L	16485000	16488000	chr2L	16321000	16323000	13.5500001907349
chr2L	16488000	16491000	chr2L	16321000	16323000	16.9600009918213
chr2L	16491000	16494000	chr2L	16321000	16323000	24.6000003814697
chr2L	16494000	16497000	chr2L	16321000	16323000	0
chr2L	16497000	16500000	chr2L	16321000	16323000	28.1999988555908
chr2L	16500000	16503000	chr2L	16321000	16323000	23.6500015258789
chr2L	16503000	16506000	chr2L	16321000	16323000	21.6000003814697
chr2L	16506000	16509000	chr2L	16321000	16323000	13.3999996185303
chr2L	16509000	16512000	chr2L	16321000	16323000	8.55000019073486
chr2L	16321000	16323000	chr2L	16323000	16326000	17.1272735595703
chr2L	16323000	16326000	chr2L	16323000	16326000	17.4419345855713
chr2L	16326000	16329000	chr2L	16323000	16326000	7.37043476104736
chr2L	16329000	16332000	chr2L	16323000	16326000	-4.96521759033203
chr2L	16332000	16335000	chr2L	16323000	16326000	-2.70294117927551
chr2L	16335000	16338000	chr2L	16323000	16326000	-17.8347225189209
chr2L	16338000	16341000	chr2L	16323000	16326000	-14.7633800506592
chr2L	16341000	16344000	chr2L	16323000	16326000	-8.90882396697998
chr2L	16344000	16347000	chr2L	16323000	16326000	-0.123333297669888
chr2L	16347000	16350000	chr2L	16323000	16326000	6.56071424484253
chr2L	16350000	16353000	chr2L	16323000	16326000	-10.283332824707
chr2L	16353000	16356000	chr2L	16323000	16326000	-15.0708332061768
chr2L	16356000	16359000	chr2L	16323000	16326000	-26.0300006866455
chr2L	16359000	16362000	chr2L	16323000	16326000	-32.0999984741211
chr2L	16362000	16365000	chr2L	16323000	16326000	-33.0999984741211
chr2L	16365000	16368000	chr2L	16323000	16326000	-36.1500015258789
chr2L	16368000	16371000	chr2L	16323000	16326000	-40.6333312988281
chr2L	16371000	16374000	chr2L	16323000	16326000	-42.466667175293
chr2L	16374000	16377000	chr2L	16323000	16326000	-38.0200004577637
chr2L	16377000	16380000	chr2L	16323000	16326000	-32.7000007629395
chr2L	16380000	16383000	chr2L	16323000	16326000	-34.0750007629395
chr2L	16383000	16386000	chr2L	16323000	16326000	-32.966667175293
chr2L	16386000	16389000	chr2L	16323000	16326000	-25.7000007629395
chr2L	16389000	16392000	chr2L	16323000	16326000	-31.6846141815186
chr2L	16392000	16395000	chr2L	16323000	16326000	-37.2749977111816
chr2L	16395000	16398000	chr2L	16323000	16326000	-45.5666656494141
chr2L	16398000	16401000	chr2L	16323000	16326000	-43.5499992370605
chr2L	16401000	16404000	chr2L	16323000	16326000	-32.1555557250977
chr2L	16404000	16407000	chr2L	16323000	16326000	-29.0157890319824
chr2L	16407000	16410000	chr2L	16323000	16326000	-24.8250007629395
chr2L	16410000	16413000	chr2L	16323000	16326000	-28.2999992370605
chr2L	16413000	16416000	chr2L	16323000	16326000	-34.3666687011719
chr2L	16416000	16419000	chr2L	16323000	16326000	-38.8600006103516
chr2L	16419000	16422000	chr2L	16323000	16326000	-41.7999992370605
chr2L	16422000	16425000	chr2L	16323000	16326000	-38.4000015258789
chr2L	16425000	16428000	chr2L	16323000	16326000	-39.2599983215332
chr2L	16428000	16431000	chr2L	16323000	16326000	-39.9000015258789
chr2L	16431000	16434000	chr2L	16323000	16326000	-39.5
chr2L	16434000	16437000	chr2L	16323000	16326000	-37.0999984741211
chr2L	16437000	16440000	chr2L	16323000	16326000	-33.2666664123535
chr2L	16440000	16443000	chr2L	16323000	16326000	-25.6875
chr2L	16443000	16446000	chr2L	16323000	16326000	-24.4571418762207
