chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	23.7999992370605
chr2L	16323000	16326000	chr2L	16321000	16323000	21.0859870910645
chr2L	16326000	16329000	chr2L	16321000	16323000	-12.0486488342285
chr2L	16329000	16332000	chr2L	16321000	16323000	-38.2034492492676
chr2L	16332000	16335000	chr2L	16321000	16323000	-31.5240001678467
chr2L	16335000	16338000	chr2L	16321000	16323000	-29.8166656494141
chr2L	16338000	16341000	chr2L	16321000	16323000	-29.6233329772949
chr2L	16341000	16344000	chr2L	16321000	16323000	-27.7199993133545
chr2L	16344000	16347000	chr2L	16321000	16323000	-18.3629627227783
chr2L	16347000	16350000	chr2L	16321000	16323000	-1.54375004768372
chr2L	16350000	16353000	chr2L	16321000	16323000	-10.7749996185303
chr2L	16353000	16356000	chr2L	16321000	16323000	-19.2999992370605
chr2L	16356000	16359000	chr2L	16321000	16323000	-35.9571418762207
chr2L	16359000	16362000	chr2L	16321000	16323000	-50.9250030517578
chr2L	16362000	16365000	chr2L	16321000	16323000	-59.1428565979004
chr2L	16365000	16368000	chr2L	16321000	16323000	-62.9500007629395
chr2L	16368000	16371000	chr2L	16321000	16323000	-63.3999977111816
chr2L	16371000	16374000	chr2L	16321000	16323000	-66.1333312988281
chr2L	16374000	16377000	chr2L	16321000	16323000	-64.6000061035156
chr2L	16377000	16380000	chr2L	16321000	16323000	-64.5
chr2L	16380000	16383000	chr2L	16321000	16323000	-65
chr2L	16383000	16386000	chr2L	16321000	16323000	-67.1666641235352
chr2L	16386000	16389000	chr2L	16321000	16323000	-66
chr2L	16389000	16392000	chr2L	16321000	16323000	-65.8000030517578
chr2L	16392000	16395000	chr2L	16321000	16323000	-66.1999969482422
chr2L	16395000	16398000	chr2L	16321000	16323000	-57.9199981689453
chr2L	16398000	16401000	chr2L	16321000	16323000	-55.5200004577637
chr2L	16401000	16404000	chr2L	16321000	16323000	0
chr2L	16404000	16407000	chr2L	16321000	16323000	-55.5666656494141
chr2L	16407000	16410000	chr2L	16321000	16323000	0
chr2L	16410000	16413000	chr2L	16321000	16323000	-56.4000015258789
chr2L	16413000	16416000	chr2L	16321000	16323000	-54.8666648864746
chr2L	16416000	16419000	chr2L	16321000	16323000	-52.9000015258789
chr2L	16419000	16422000	chr2L	16321000	16323000	-51.2000007629395
chr2L	16422000	16425000	chr2L	16321000	16323000	-51.0400009155273
chr2L	16425000	16428000	chr2L	16321000	16323000	-48.5999984741211
chr2L	16428000	16431000	chr2L	16321000	16323000	-45.2999992370605
chr2L	16431000	16434000	chr2L	16321000	16323000	-46.2333335876465
chr2L	16434000	16437000	chr2L	16321000	16323000	-47.2999992370605
chr2L	16437000	16440000	chr2L	16321000	16323000	-45.9500007629395
chr2L	16440000	16443000	chr2L	16321000	16323000	-32.8333320617676
chr2L	16443000	16446000	chr2L	16321000	16323000	-30.7000007629395
chr2L	16446000	16449000	chr2L	16321000	16323000	-27.1000003814697
chr2L	16449000	16452000	chr2L	16321000	16323000	-22.5399990081787
chr2L	16452000	16455000	chr2L	16321000	16323000	-18
chr2L	16455000	16458000	chr2L	16321000	16323000	-24.0399990081787
chr2L	16458000	16461000	chr2L	16321000	16323000	-31.5
chr2L	16461000	16464000	chr2L	16321000	16323000	-35.5
chr2L	16464000	16467000	chr2L	16321000	16323000	-34.2999992370605
chr2L	16467000	16470000	chr2L	16321000	16323000	-34.4000015258789
chr2L	16470000	16473000	chr2L	16321000	16323000	-31.5999984741211
chr2L	16473000	16476000	chr2L	16321000	16323000	-25.5666675567627
chr2L	16476000	16479000	chr2L	16321000	16323000	-20.7333335876465
chr2L	16479000	16482000	chr2L	16321000	16323000	0
chr2L	16482000	16485000	chr2L	16321000	16323000	2.02500009536743
chr2L	16485000	16488000	chr2L	16321000	16323000	14.6000003814697
chr2L	16488000	16491000	chr2L	16321000	16323000	23.1599998474121
chr2L	16491000	16494000	chr2L	16321000	16323000	30.75
chr2L	16494000	16497000	chr2L	16321000	16323000	31.466667175293
chr2L	16497000	16500000	chr2L	16321000	16323000	31.7999992370605
chr2L	16500000	16503000	chr2L	16321000	16323000	34.8499984741211
chr2L	16503000	16506000	chr2L	16321000	16323000	30.533332824707
chr2L	16506000	16509000	chr2L	16321000	16323000	19.8250007629395
chr2L	16509000	16512000	chr2L	16321000	16323000	13.5199995040894
chr2L	16321000	16323000	chr2L	16323000	16326000	21.0859870910645
chr2L	16323000	16326000	chr2L	16323000	16326000	9.80344867706299
chr2L	16326000	16329000	chr2L	16323000	16326000	1.63103449344635
chr2L	16329000	16332000	chr2L	16323000	16326000	-22.8578128814697
chr2L	16332000	16335000	chr2L	16323000	16326000	-25.42799949646
chr2L	16335000	16338000	chr2L	16323000	16326000	-19.6533336639404
chr2L	16338000	16341000	chr2L	16323000	16326000	-13.1290321350098
chr2L	16341000	16344000	chr2L	16323000	16326000	-21.1555557250977
chr2L	16344000	16347000	chr2L	16323000	16326000	2.08378386497498
chr2L	16347000	16350000	chr2L	16323000	16326000	24.3600006103516
chr2L	16350000	16353000	chr2L	16323000	16326000	27.4750003814697
chr2L	16353000	16356000	chr2L	16323000	16326000	7.73333358764648
chr2L	16356000	16359000	chr2L	16323000	16326000	-24.7888889312744
chr2L	16359000	16362000	chr2L	16323000	16326000	-46.029411315918
chr2L	16362000	16365000	chr2L	16323000	16326000	-57.5454559326172
chr2L	16365000	16368000	chr2L	16323000	16326000	-58.9272727966309
chr2L	16368000	16371000	chr2L	16323000	16326000	-61.5999984741211
chr2L	16371000	16374000	chr2L	16323000	16326000	-64.4499969482422
chr2L	16374000	16377000	chr2L	16323000	16326000	-64.0999984741211
chr2L	16377000	16380000	chr2L	16323000	16326000	-62.7200012207031
chr2L	16380000	16383000	chr2L	16323000	16326000	-63.2799987792969
chr2L	16383000	16386000	chr2L	16323000	16326000	-66.8285675048828
chr2L	16386000	16389000	chr2L	16323000	16326000	-66.9000015258789
chr2L	16389000	16392000	chr2L	16323000	16326000	-61.7999992370605
chr2L	16392000	16395000	chr2L	16323000	16326000	-62
chr2L	16395000	16398000	chr2L	16323000	16326000	-59.0800018310547
chr2L	16398000	16401000	chr2L	16323000	16326000	-52.7999992370605
chr2L	16401000	16404000	chr2L	16323000	16326000	-51.1714286804199
chr2L	16404000	16407000	chr2L	16323000	16326000	-53.2000007629395
chr2L	16407000	16410000	chr2L	16323000	16326000	-53.8499984741211
chr2L	16410000	16413000	chr2L	16323000	16326000	-55.25
chr2L	16413000	16416000	chr2L	16323000	16326000	-51.1599998474121
chr2L	16416000	16419000	chr2L	16323000	16326000	-49
chr2L	16419000	16422000	chr2L	16323000	16326000	-45.3400001525879
chr2L	16422000	16425000	chr2L	16323000	16326000	-46.5799980163574
chr2L	16425000	16428000	chr2L	16323000	16326000	-47.8199996948242
chr2L	16428000	16431000	chr2L	16323000	16326000	-42.7999992370605
chr2L	16431000	16434000	chr2L	16323000	16326000	-44.2999992370605
chr2L	16434000	16437000	chr2L	16323000	16326000	-44.9000015258789
chr2L	16437000	16440000	chr2L	16323000	16326000	-40.2999992370605
chr2L	16440000	16443000	chr2L	16323000	16326000	-27.9666652679443
chr2L	16443000	16446000	chr2L	16323000	16326000	-27.3999996185303
chr2L	16446000	16449000	chr2L	16323000	16326000	-24.6000003814697
chr2L	16449000	16452000	chr2L	16323000	16326000	-21.9166660308838
chr2L	16452000	16455000	chr2L	16323000	16326000	-20.5
chr2L	16455000	16458000	chr2L	16323000	16326000	-28
chr2L	16458000	16461000	chr2L	16323000	16326000	-29.1666660308838
chr2L	16461000	16464000	chr2L	16323000	16326000	-35.7000007629395
chr2L	16464000	16467000	chr2L	16323000	16326000	-26.1000003814697
chr2L	16467000	16470000	chr2L	16323000	16326000	-26.9500007629395
chr2L	16470000	16473000	chr2L	16323000	16326000	-27
chr2L	16473000	16476000	chr2L	16323000	16326000	-20.9400005340576
chr2L	16476000	16479000	chr2L	16323000	16326000	-9.375
chr2L	16479000	16482000	chr2L	16323000	16326000	-7.10000038146973
chr2L	16482000	16485000	chr2L	16323000	16326000	7.79999971389771
chr2L	16485000	16488000	chr2L	16323000	16326000	12.3600006103516
chr2L	16488000	16491000	chr2L	16323000	16326000	17.91428565979
chr2L	16491000	16494000	chr2L	16323000	16326000	26.3142852783203
chr2L	16494000	16497000	chr2L	16323000	16326000	30.3714294433594
chr2L	16497000	16500000	chr2L	16323000	16326000	33.2666664123535
chr2L	16500000	16503000	chr2L	16323000	16326000	33.5142860412598
chr2L	16503000	16506000	chr2L	16323000	16326000	30.1499996185303
chr2L	16506000	16509000	chr2L	16323000	16326000	20.033332824707
chr2L	16509000	16512000	chr2L	16323000	16326000	14.5749998092651
chr2L	16321000	16323000	chr2L	16326000	16329000	-12.0486488342285
chr2L	16323000	16326000	chr2L	16326000	16329000	1.63103449344635
