chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	21.6974353790283
chr2L	16323000	16326000	chr2L	16321000	16323000	24.8937873840332
chr2L	16326000	16329000	chr2L	16321000	16323000	16.8623600006104
chr2L	16329000	16332000	chr2L	16321000	16323000	4.8641791343689
chr2L	16332000	16335000	chr2L	16321000	16323000	-4.97142839431763
chr2L	16335000	16338000	chr2L	16321000	16323000	-5.58333349227905
chr2L	16338000	16341000	chr2L	16321000	16323000	-5.82033920288086
chr2L	16341000	16344000	chr2L	16321000	16323000	-2.05999994277954
chr2L	16344000	16347000	chr2L	16321000	16323000	10.995454788208
chr2L	16347000	16350000	chr2L	16321000	16323000	10.1459455490112
chr2L	16350000	16353000	chr2L	16321000	16323000	11.5205125808716
chr2L	16353000	16356000	chr2L	16321000	16323000	3.96842098236084
chr2L	16356000	16359000	chr2L	16321000	16323000	-9.68965530395508
chr2L	16359000	16362000	chr2L	16321000	16323000	-23.9740734100342
chr2L	16362000	16365000	chr2L	16321000	16323000	-37.0454559326172
chr2L	16365000	16368000	chr2L	16321000	16323000	-42.4500007629395
chr2L	16368000	16371000	chr2L	16321000	16323000	-41.8428573608398
chr2L	16371000	16374000	chr2L	16321000	16323000	-37.4199981689453
chr2L	16374000	16377000	chr2L	16321000	16323000	-43.6235275268555
chr2L	16377000	16380000	chr2L	16321000	16323000	-50.3142852783203
chr2L	16380000	16383000	chr2L	16321000	16323000	-54.658332824707
chr2L	16383000	16386000	chr2L	16321000	16323000	-42.3499984741211
chr2L	16386000	16389000	chr2L	16321000	16323000	-35.1307678222656
chr2L	16389000	16392000	chr2L	16321000	16323000	-31.990909576416
chr2L	16392000	16395000	chr2L	16321000	16323000	-32.1333312988281
chr2L	16395000	16398000	chr2L	16321000	16323000	-30.8142852783203
chr2L	16398000	16401000	chr2L	16321000	16323000	-32.2333335876465
chr2L	16401000	16404000	chr2L	16321000	16323000	-40.2333335876465
chr2L	16404000	16407000	chr2L	16321000	16323000	-42.4777793884277
chr2L	16407000	16410000	chr2L	16321000	16323000	-38.2333335876465
chr2L	16410000	16413000	chr2L	16321000	16323000	-30.8666667938232
chr2L	16413000	16416000	chr2L	16321000	16323000	-29.8454551696777
chr2L	16416000	16419000	chr2L	16321000	16323000	-31.2999992370605
chr2L	16419000	16422000	chr2L	16321000	16323000	-42.8666648864746
chr2L	16422000	16425000	chr2L	16321000	16323000	-43.0999984741211
chr2L	16425000	16428000	chr2L	16321000	16323000	-41.4500007629395
chr2L	16428000	16431000	chr2L	16321000	16323000	-36.9000015258789
chr2L	16431000	16434000	chr2L	16321000	16323000	-34.2999992370605
chr2L	16434000	16437000	chr2L	16321000	16323000	-30.7571430206299
chr2L	16437000	16440000	chr2L	16321000	16323000	-29.2000007629395
chr2L	16440000	16443000	chr2L	16321000	16323000	-31.0249996185303
chr2L	16443000	16446000	chr2L	16321000	16323000	-29.8428573608398
chr2L	16446000	16449000	chr2L	16321000	16323000	-24.7199993133545
chr2L	16449000	16452000	chr2L	16321000	16323000	-21.2199993133545
chr2L	16452000	16455000	chr2L	16321000	16323000	-13.1333332061768
chr2L	16455000	16458000	chr2L	16321000	16323000	-5.75454521179199
chr2L	16458000	16461000	chr2L	16321000	16323000	-0.960000157356262
chr2L	16461000	16464000	chr2L	16321000	16323000	-5.07777786254883
chr2L	16464000	16467000	chr2L	16321000	16323000	-15.3363637924194
chr2L	16467000	16470000	chr2L	16321000	16323000	-12.125
chr2L	16470000	16473000	chr2L	16321000	16323000	-3.67142868041992
chr2L	16473000	16476000	chr2L	16321000	16323000	11.5249996185303
chr2L	16476000	16479000	chr2L	16321000	16323000	10.6000003814697
chr2L	16479000	16482000	chr2L	16321000	16323000	0
chr2L	16482000	16485000	chr2L	16321000	16323000	-1.49999988079071
chr2L	16485000	16488000	chr2L	16321000	16323000	11.0249996185303
chr2L	16488000	16491000	chr2L	16321000	16323000	16.3714294433594
chr2L	16491000	16494000	chr2L	16321000	16323000	24.2749996185303
chr2L	16494000	16497000	chr2L	16321000	16323000	23.033332824707
chr2L	16497000	16500000	chr2L	16321000	16323000	15.4777774810791
chr2L	16500000	16503000	chr2L	16321000	16323000	13.3000001907349
chr2L	16503000	16506000	chr2L	16321000	16323000	8.78333377838135
chr2L	16506000	16509000	chr2L	16321000	16323000	-20.9500007629395
chr2L	16509000	16512000	chr2L	16321000	16323000	-32.5666656494141
chr2L	16321000	16323000	chr2L	16323000	16326000	24.8937873840332
chr2L	16323000	16326000	chr2L	16323000	16326000	23.7357139587402
chr2L	16326000	16329000	chr2L	16323000	16326000	17.5194702148438
chr2L	16329000	16332000	chr2L	16323000	16326000	4.01769924163818
chr2L	16332000	16335000	chr2L	16323000	16326000	0.0810975506901741
chr2L	16335000	16338000	chr2L	16323000	16326000	3.82195115089417
chr2L	16338000	16341000	chr2L	16323000	16326000	8.11442279815674
chr2L	16341000	16344000	chr2L	16323000	16326000	13.0692987442017
chr2L	16344000	16347000	chr2L	16323000	16326000	18.5236835479736
chr2L	16347000	16350000	chr2L	16323000	16326000	21.9144744873047
chr2L	16350000	16353000	chr2L	16323000	16326000	33.6657905578613
chr2L	16353000	16356000	chr2L	16323000	16326000	26.1414279937744
chr2L	16356000	16359000	chr2L	16323000	16326000	-1.65588235855103
chr2L	16359000	16362000	chr2L	16323000	16326000	-25.7999992370605
chr2L	16362000	16365000	chr2L	16323000	16326000	-36.6759986877441
chr2L	16365000	16368000	chr2L	16323000	16326000	-42.9879989624023
chr2L	16368000	16371000	chr2L	16323000	16326000	-46.2368431091309
chr2L	16371000	16374000	chr2L	16323000	16326000	-43.6608695983887
chr2L	16374000	16377000	chr2L	16323000	16326000	-48.9263153076172
chr2L	16377000	16380000	chr2L	16323000	16326000	-57.875
chr2L	16380000	16383000	chr2L	16323000	16326000	-59.4799995422363
chr2L	16383000	16386000	chr2L	16323000	16326000	-44.46875
chr2L	16386000	16389000	chr2L	16323000	16326000	-35.6066665649414
chr2L	16389000	16392000	chr2L	16323000	16326000	-40.0800018310547
chr2L	16392000	16395000	chr2L	16323000	16326000	-38.5875015258789
chr2L	16395000	16398000	chr2L	16323000	16326000	-42.3391304016113
chr2L	16398000	16401000	chr2L	16323000	16326000	-34.8272743225098
chr2L	16401000	16404000	chr2L	16323000	16326000	-40.2999992370605
chr2L	16404000	16407000	chr2L	16323000	16326000	-40.9799995422363
chr2L	16407000	16410000	chr2L	16323000	16326000	-37.2466659545898
chr2L	16410000	16413000	chr2L	16323000	16326000	-33.0999984741211
chr2L	16413000	16416000	chr2L	16323000	16326000	-32.5428581237793
chr2L	16416000	16419000	chr2L	16323000	16326000	-35.5999984741211
chr2L	16419000	16422000	chr2L	16323000	16326000	-39.1133346557617
chr2L	16422000	16425000	chr2L	16323000	16326000	-39.8333320617676
chr2L	16425000	16428000	chr2L	16323000	16326000	-38.3363647460938
chr2L	16428000	16431000	chr2L	16323000	16326000	-40.060001373291
