chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	22.7999992370605
chr2L	16323000	16326000	chr2L	16321000	16323000	20.966667175293
chr2L	16326000	16329000	chr2L	16321000	16323000	16.3400001525879
chr2L	16329000	16332000	chr2L	16321000	16323000	16.3600006103516
chr2L	16332000	16335000	chr2L	16321000	16323000	-8.30000019073486
chr2L	16335000	16338000	chr2L	16321000	16323000	12.3333339691162
chr2L	16338000	16341000	chr2L	16321000	16323000	11.9333333969116
chr2L	16341000	16344000	chr2L	16321000	16323000	13.960000038147
chr2L	16344000	16347000	chr2L	16321000	16323000	19.9333324432373
chr2L	16347000	16350000	chr2L	16321000	16323000	15.9499998092651
chr2L	16350000	16353000	chr2L	16321000	16323000	0
chr2L	16353000	16356000	chr2L	16321000	16323000	13.3999996185303
chr2L	16356000	16359000	chr2L	16321000	16323000	8.35000038146973
chr2L	16359000	16362000	chr2L	16321000	16323000	0.0499999523162842
chr2L	16362000	16365000	chr2L	16321000	16323000	-12.1999998092651
chr2L	16365000	16368000	chr2L	16321000	16323000	-25.8999996185303
chr2L	16368000	16371000	chr2L	16321000	16323000	-33.9000015258789
chr2L	16371000	16374000	chr2L	16321000	16323000	-40.7000007629395
chr2L	16374000	16377000	chr2L	16321000	16323000	0
chr2L	16377000	16380000	chr2L	16321000	16323000	-40.2999992370605
chr2L	16380000	16383000	chr2L	16321000	16323000	-43.0999984741211
chr2L	16383000	16386000	chr2L	16321000	16323000	0
chr2L	16386000	16389000	chr2L	16321000	16323000	0
chr2L	16389000	16392000	chr2L	16321000	16323000	-35.9000015258789
chr2L	16392000	16395000	chr2L	16321000	16323000	0
chr2L	16395000	16398000	chr2L	16321000	16323000	-40.5
chr2L	16398000	16401000	chr2L	16321000	16323000	-42.2999992370605
chr2L	16401000	16404000	chr2L	16321000	16323000	-46.7000007629395
chr2L	16404000	16407000	chr2L	16321000	16323000	-47.4000015258789
chr2L	16407000	16410000	chr2L	16321000	16323000	0
chr2L	16410000	16413000	chr2L	16321000	16323000	0
chr2L	16413000	16416000	chr2L	16321000	16323000	0
chr2L	16416000	16419000	chr2L	16321000	16323000	0
chr2L	16419000	16422000	chr2L	16321000	16323000	0
chr2L	16422000	16425000	chr2L	16321000	16323000	0
chr2L	16425000	16428000	chr2L	16321000	16323000	-47.5
chr2L	16428000	16431000	chr2L	16321000	16323000	0
chr2L	16431000	16434000	chr2L	16321000	16323000	0
chr2L	16434000	16437000	chr2L	16321000	16323000	0
chr2L	16437000	16440000	chr2L	16321000	16323000	0
chr2L	16440000	16443000	chr2L	16321000	16323000	0
chr2L	16443000	16446000	chr2L	16321000	16323000	0
chr2L	16446000	16449000	chr2L	16321000	16323000	0
chr2L	16449000	16452000	chr2L	16321000	16323000	-21.7999992370605
