chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	31.625
chr2L	16323000	16326000	chr2L	16321000	16323000	29.5048770904541
chr2L	16326000	16329000	chr2L	16321000	16323000	-20.3500003814697
chr2L	16329000	16332000	chr2L	16321000	16323000	-39.0866661071777
chr2L	16332000	16335000	chr2L	16321000	16323000	-34.371997833252
chr2L	16335000	16338000	chr2L	16321000	16323000	-35.5692291259766
chr2L	16338000	16341000	chr2L	16321000	16323000	-39.3235282897949
chr2L	16341000	16344000	chr2L	16321000	16323000	-35.0523796081543
chr2L	16344000	16347000	chr2L	16321000	16323000	-21.1416664123535
chr2L	16347000	16350000	chr2L	16321000	16323000	-19.3066673278809
chr2L	16350000	16353000	chr2L	16321000	16323000	-27.1909084320068
chr2L	16353000	16356000	chr2L	16321000	16323000	-46.4099998474121
chr2L	16356000	16359000	chr2L	16321000	16323000	-55.2666664123535
chr2L	16359000	16362000	chr2L	16321000	16323000	-65
chr2L	16362000	16365000	chr2L	16321000	16323000	-68.1142883300781
chr2L	16365000	16368000	chr2L	16321000	16323000	-66.2399978637695
chr2L	16368000	16371000	chr2L	16321000	16323000	-65.4000015258789
chr2L	16371000	16374000	chr2L	16321000	16323000	-65.1999969482422
chr2L	16374000	16377000	chr2L	16321000	16323000	-67.4000015258789
chr2L	16377000	16380000	chr2L	16321000	16323000	-66.1999969482422
chr2L	16380000	16383000	chr2L	16321000	16323000	-64.1333312988281
chr2L	16383000	16386000	chr2L	16321000	16323000	-64.5999984741211
chr2L	16386000	16389000	chr2L	16321000	16323000	-65.0500030517578
chr2L	16389000	16392000	chr2L	16321000	16323000	-60.7999992370605
chr2L	16392000	16395000	chr2L	16321000	16323000	-59.7999992370605
chr2L	16395000	16398000	chr2L	16321000	16323000	-64.0999984741211
chr2L	16398000	16401000	chr2L	16321000	16323000	-67.8666687011719
chr2L	16401000	16404000	chr2L	16321000	16323000	-71.5999984741211
chr2L	16404000	16407000	chr2L	16321000	16323000	-71.4499969482422
chr2L	16407000	16410000	chr2L	16321000	16323000	-67.4000015258789
chr2L	16410000	16413000	chr2L	16321000	16323000	-61.7999992370605
chr2L	16413000	16416000	chr2L	16321000	16323000	-58.5999984741211
chr2L	16416000	16419000	chr2L	16321000	16323000	-54.7999992370605
chr2L	16419000	16422000	chr2L	16321000	16323000	-49.1500015258789
chr2L	16422000	16425000	chr2L	16321000	16323000	-46.6333312988281
chr2L	16425000	16428000	chr2L	16321000	16323000	-45.5
chr2L	16428000	16431000	chr2L	16321000	16323000	-50.7999992370605
chr2L	16431000	16434000	chr2L	16321000	16323000	-55.3999977111816
chr2L	16434000	16437000	chr2L	16321000	16323000	-52.2666664123535
chr2L	16437000	16440000	chr2L	16321000	16323000	-49.8499984741211
chr2L	16440000	16443000	chr2L	16321000	16323000	-41.7666664123535
chr2L	16443000	16446000	chr2L	16321000	16323000	-35.7000007629395
chr2L	16446000	16449000	chr2L	16321000	16323000	-32.0499992370605
chr2L	16449000	16452000	chr2L	16321000	16323000	-32.5499992370605
chr2L	16452000	16455000	chr2L	16321000	16323000	-25.8999996185303
chr2L	16455000	16458000	chr2L	16321000	16323000	-23.7800006866455
chr2L	16458000	16461000	chr2L	16321000	16323000	-23.25
chr2L	16461000	16464000	chr2L	16321000	16323000	0
chr2L	16464000	16467000	chr2L	16321000	16323000	-27.2999992370605
chr2L	16467000	16470000	chr2L	16321000	16323000	-26.7666664123535
chr2L	16470000	16473000	chr2L	16321000	16323000	-21.8999996185303
chr2L	16473000	16476000	chr2L	16321000	16323000	-12.1999998092651
chr2L	16476000	16479000	chr2L	16321000	16323000	-8.4399995803833
chr2L	16479000	16482000	chr2L	16321000	16323000	5.72500038146973
chr2L	16482000	16485000	chr2L	16321000	16323000	18.1666679382324
chr2L	16485000	16488000	chr2L	16321000	16323000	28.5
chr2L	16488000	16491000	chr2L	16321000	16323000	32.533332824707
chr2L	16491000	16494000	chr2L	16321000	16323000	40.1428565979004
chr2L	16494000	16497000	chr2L	16321000	16323000	43.4285736083984
chr2L	16497000	16500000	chr2L	16321000	16323000	42.2333335876465
chr2L	16500000	16503000	chr2L	16321000	16323000	39.3999977111816
chr2L	16503000	16506000	chr2L	16321000	16323000	0
chr2L	16506000	16509000	chr2L	16321000	16323000	26.033332824707
chr2L	16509000	16512000	chr2L	16321000	16323000	17.2999992370605
chr2L	16321000	16323000	chr2L	16323000	16326000	29.5048770904541
chr2L	16323000	16326000	chr2L	16323000	16326000	6.68387079238892
chr2L	16326000	16329000	chr2L	16323000	16326000	-20.7008476257324
chr2L	16329000	16332000	chr2L	16323000	16326000	-23.0283584594727
chr2L	16332000	16335000	chr2L	16323000	16326000	-23.4803924560547
chr2L	16335000	16338000	chr2L	16323000	16326000	-16.0799999237061
chr2L	16338000	16341000	chr2L	16323000	16326000	-16.458065032959
chr2L	16341000	16344000	chr2L	16323000	16326000	-16.0705890655518
chr2L	16344000	16347000	chr2L	16323000	16326000	-6.14827585220337
chr2L	16347000	16350000	chr2L	16323000	16326000	6.17749977111816
chr2L	16350000	16353000	chr2L	16323000	16326000	-1.04375004768372
chr2L	16353000	16356000	chr2L	16323000	16326000	-28.3624992370605
chr2L	16356000	16359000	chr2L	16323000	16326000	-44.9333343505859
chr2L	16359000	16362000	chr2L	16323000	16326000	-57.8666648864746
chr2L	16362000	16365000	chr2L	16323000	16326000	-64.0500030517578
chr2L	16365000	16368000	chr2L	16323000	16326000	-65.1666641235352
chr2L	16368000	16371000	chr2L	16323000	16326000	-64.6999969482422
chr2L	16371000	16374000	chr2L	16323000	16326000	-65.1999969482422
chr2L	16374000	16377000	chr2L	16323000	16326000	-66.0500030517578
chr2L	16377000	16380000	chr2L	16323000	16326000	-63.0666656494141
chr2L	16380000	16383000	chr2L	16323000	16326000	-64
chr2L	16383000	16386000	chr2L	16323000	16326000	-63.8571434020996
chr2L	16386000	16389000	chr2L	16323000	16326000	-64.4000015258789
chr2L	16389000	16392000	chr2L	16323000	16326000	-61.0499992370605
chr2L	16392000	16395000	chr2L	16323000	16326000	-64.3999938964844
chr2L	16395000	16398000	chr2L	16323000	16326000	-66
chr2L	16398000	16401000	chr2L	16323000	16326000	-66.1999969482422
chr2L	16401000	16404000	chr2L	16323000	16326000	-68.4000015258789
chr2L	16404000	16407000	chr2L	16323000	16326000	-73.6000061035156
chr2L	16407000	16410000	chr2L	16323000	16326000	-66.4000015258789
chr2L	16410000	16413000	chr2L	16323000	16326000	-62.6333312988281
chr2L	16413000	16416000	chr2L	16323000	16326000	-54.4500007629395
chr2L	16416000	16419000	chr2L	16323000	16326000	-49.9833335876465
chr2L	16419000	16422000	chr2L	16323000	16326000	-47.5666656494141
chr2L	16422000	16425000	chr2L	16323000	16326000	-46.7666664123535
chr2L	16425000	16428000	chr2L	16323000	16326000	-45.9000015258789
chr2L	16428000	16431000	chr2L	16323000	16326000	-47.7200012207031
chr2L	16431000	16434000	chr2L	16323000	16326000	-49.7399978637695
