chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	17.2000007629395
chr2L	16323000	16326000	chr2L	16321000	16323000	21.5499992370605
chr2L	16326000	16329000	chr2L	16321000	16323000	-11.5249996185303
chr2L	16329000	16332000	chr2L	16321000	16323000	-20.3142852783203
chr2L	16332000	16335000	chr2L	16321000	16323000	-18.009090423584
chr2L	16335000	16338000	chr2L	16321000	16323000	1.91249990463257
chr2L	16338000	16341000	chr2L	16321000	16323000	3.41818165779114
chr2L	16341000	16344000	chr2L	16321000	16323000	18.5423069000244
chr2L	16344000	16347000	chr2L	16321000	16323000	19.25
chr2L	16347000	16350000	chr2L	16321000	16323000	26.0526313781738
chr2L	16350000	16353000	chr2L	16321000	16323000	13.1333332061768
chr2L	16353000	16356000	chr2L	16321000	16323000	-6.97499990463257
chr2L	16356000	16359000	chr2L	16321000	16323000	-18.3666667938232
chr2L	16359000	16362000	chr2L	16321000	16323000	-34.2999992370605
chr2L	16362000	16365000	chr2L	16321000	16323000	-53.4000015258789
chr2L	16365000	16368000	chr2L	16321000	16323000	-55.5999984741211
chr2L	16368000	16371000	chr2L	16321000	16323000	0
chr2L	16371000	16374000	chr2L	16321000	16323000	-49.8333320617676
chr2L	16374000	16377000	chr2L	16321000	16323000	-40.7000007629395
chr2L	16377000	16380000	chr2L	16321000	16323000	0
chr2L	16380000	16383000	chr2L	16321000	16323000	-39.033332824707
chr2L	16383000	16386000	chr2L	16321000	16323000	-39.0999984741211
chr2L	16386000	16389000	chr2L	16321000	16323000	-43.0999984741211
chr2L	16389000	16392000	chr2L	16321000	16323000	-39.5
chr2L	16392000	16395000	chr2L	16321000	16323000	0
chr2L	16395000	16398000	chr2L	16321000	16323000	-51.9000015258789
chr2L	16398000	16401000	chr2L	16321000	16323000	0
chr2L	16401000	16404000	chr2L	16321000	16323000	-55.6000022888184
chr2L	16404000	16407000	chr2L	16321000	16323000	-56.8499984741211
chr2L	16407000	16410000	chr2L	16321000	16323000	-53.5999984741211
chr2L	16410000	16413000	chr2L	16321000	16323000	-50.4000015258789
chr2L	16413000	16416000	chr2L	16321000	16323000	0
chr2L	16416000	16419000	chr2L	16321000	16323000	-52.2333335876465
chr2L	16419000	16422000	chr2L	16321000	16323000	-50.7999992370605
chr2L	16422000	16425000	chr2L	16321000	16323000	0
chr2L	16425000	16428000	chr2L	16321000	16323000	-41.7999992370605
chr2L	16428000	16431000	chr2L	16321000	16323000	0
chr2L	16431000	16434000	chr2L	16321000	16323000	0
chr2L	16434000	16437000	chr2L	16321000	16323000	-34.2999992370605
chr2L	16437000	16440000	chr2L	16321000	16323000	-29.2999992370605
chr2L	16440000	16443000	chr2L	16321000	16323000	0
chr2L	16443000	16446000	chr2L	16321000	16323000	-27.966667175293
chr2L	16446000	16449000	chr2L	16321000	16323000	0
chr2L	16449000	16452000	chr2L	16321000	16323000	-26.5
chr2L	16452000	16455000	chr2L	16321000	16323000	-18.3600006103516
chr2L	16455000	16458000	chr2L	16321000	16323000	-21.5
chr2L	16458000	16461000	chr2L	16321000	16323000	-15.7000007629395
chr2L	16461000	16464000	chr2L	16321000	16323000	-18.6000003814697
chr2L	16464000	16467000	chr2L	16321000	16323000	0
chr2L	16467000	16470000	chr2L	16321000	16323000	0
chr2L	16470000	16473000	chr2L	16321000	16323000	-17
chr2L	16473000	16476000	chr2L	16321000	16323000	0
chr2L	16476000	16479000	chr2L	16321000	16323000	-8
chr2L	16479000	16482000	chr2L	16321000	16323000	-9.89999961853027
chr2L	16482000	16485000	chr2L	16321000	16323000	0.100000143051147
chr2L	16485000	16488000	chr2L	16321000	16323000	0
chr2L	16488000	16491000	chr2L	16321000	16323000	13
chr2L	16491000	16494000	chr2L	16321000	16323000	16.5
chr2L	16494000	16497000	chr2L	16321000	16323000	24.3999996185303
chr2L	16497000	16500000	chr2L	16321000	16323000	24.7999992370605
chr2L	16500000	16503000	chr2L	16321000	16323000	19.7000007629395
chr2L	16503000	16506000	chr2L	16321000	16323000	0
chr2L	16506000	16509000	chr2L	16321000	16323000	11.3000001907349
chr2L	16509000	16512000	chr2L	16321000	16323000	11.8000001907349
chr2L	16321000	16323000	chr2L	16323000	16326000	21.5499992370605
chr2L	16323000	16326000	chr2L	16323000	16326000	24.1354846954346
chr2L	16326000	16329000	chr2L	16323000	16326000	-15.1447057723999
chr2L	16329000	16332000	chr2L	16323000	16326000	-17.8189182281494
chr2L	16332000	16335000	chr2L	16323000	16326000	-8.66744136810303
chr2L	16335000	16338000	chr2L	16323000	16326000	11.9053573608398
chr2L	16338000	16341000	chr2L	16323000	16326000	2.90208339691162
chr2L	16341000	16344000	chr2L	16323000	16326000	10.9872722625732
chr2L	16344000	16347000	chr2L	16323000	16326000	19.9736843109131
chr2L	16347000	16350000	chr2L	16323000	16326000	30.7814807891846
chr2L	16350000	16353000	chr2L	16323000	16326000	15.8285713195801
chr2L	16353000	16356000	chr2L	16323000	16326000	-2.3733332157135
chr2L	16356000	16359000	chr2L	16323000	16326000	-14.457142829895
chr2L	16359000	16362000	chr2L	16323000	16326000	-28.736364364624
chr2L	16362000	16365000	chr2L	16323000	16326000	-46.8666648864746
chr2L	16365000	16368000	chr2L	16323000	16326000	-54.3499984741211
chr2L	16368000	16371000	chr2L	16323000	16326000	-52.8666687011719
chr2L	16371000	16374000	chr2L	16323000	16326000	-43.4250030517578
chr2L	16374000	16377000	chr2L	16323000	16326000	-35.9000015258789
chr2L	16377000	16380000	chr2L	16323000	16326000	-36.1399993896484
chr2L	16380000	16383000	chr2L	16323000	16326000	-38.3250007629395
chr2L	16383000	16386000	chr2L	16323000	16326000	-41.6666679382324
chr2L	16386000	16389000	chr2L	16323000	16326000	-40.7000007629395
chr2L	16389000	16392000	chr2L	16323000	16326000	-43.1285705566406
chr2L	16392000	16395000	chr2L	16323000	16326000	-45.4500007629395
chr2L	16395000	16398000	chr2L	16323000	16326000	-51.7000007629395
chr2L	16398000	16401000	chr2L	16323000	16326000	-52.4000015258789
chr2L	16401000	16404000	chr2L	16323000	16326000	-50.25
chr2L	16404000	16407000	chr2L	16323000	16326000	-54.533332824707
chr2L	16407000	16410000	chr2L	16323000	16326000	-52.4500007629395
chr2L	16410000	16413000	chr2L	16323000	16326000	-43.7000007629395
chr2L	16413000	16416000	chr2L	16323000	16326000	-43.9000015258789
chr2L	16416000	16419000	chr2L	16323000	16326000	-52.1999969482422
chr2L	16419000	16422000	chr2L	16323000	16326000	-48.2666664123535
chr2L	16422000	16425000	chr2L	16323000	16326000	-41.0999984741211
chr2L	16425000	16428000	chr2L	16323000	16326000	-39.6999969482422
chr2L	16428000	16431000	chr2L	16323000	16326000	-44.033332824707
chr2L	16431000	16434000	chr2L	16323000	16326000	-42.2999992370605
chr2L	16434000	16437000	chr2L	16323000	16326000	-36.8600006103516
chr2L	16437000	16440000	chr2L	16323000	16326000	-34.0999984741211
chr2L	16440000	16443000	chr2L	16323000	16326000	-34.033332824707
chr2L	16443000	16446000	chr2L	16323000	16326000	-32.7000007629395
chr2L	16446000	16449000	chr2L	16323000	16326000	-27.533332824707
chr2L	16449000	16452000	chr2L	16323000	16326000	-20.0499992370605
chr2L	16452000	16455000	chr2L	16323000	16326000	-15.716667175293
chr2L	16455000	16458000	chr2L	16323000	16326000	-12.1625003814697
chr2L	16458000	16461000	chr2L	16323000	16326000	-14.6999998092651
chr2L	16461000	16464000	chr2L	16323000	16326000	-15.4888887405396
chr2L	16464000	16467000	chr2L	16323000	16326000	-13.5600004196167
chr2L	16467000	16470000	chr2L	16323000	16326000	-13.033332824707
chr2L	16470000	16473000	chr2L	16323000	16326000	-14.1714286804199
chr2L	16473000	16476000	chr2L	16323000	16326000	-14
chr2L	16476000	16479000	chr2L	16323000	16326000	-0.579999804496765
chr2L	16479000	16482000	chr2L	16323000	16326000	9.69999980926514
