chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	29
chr2L	16323000	16326000	chr2L	16321000	16323000	26.8842105865479
chr2L	16326000	16329000	chr2L	16321000	16323000	-5.58333349227905
chr2L	16329000	16332000	chr2L	16321000	16323000	-11.2733335494995
chr2L	16332000	16335000	chr2L	16321000	16323000	-9.07499980926514
chr2L	16335000	16338000	chr2L	16321000	16323000	7.05999994277954
chr2L	16338000	16341000	chr2L	16321000	16323000	0.750000059604645
chr2L	16341000	16344000	chr2L	16321000	16323000	-0.55454558134079
chr2L	16344000	16347000	chr2L	16321000	16323000	8.05454540252686
chr2L	16347000	16350000	chr2L	16321000	16323000	18.2700004577637
chr2L	16350000	16353000	chr2L	16321000	16323000	7.19999980926514
chr2L	16353000	16356000	chr2L	16321000	16323000	-13.625
chr2L	16356000	16359000	chr2L	16321000	16323000	-21.25
chr2L	16359000	16362000	chr2L	16321000	16323000	-32.0999984741211
chr2L	16362000	16365000	chr2L	16321000	16323000	0
chr2L	16365000	16368000	chr2L	16321000	16323000	-46.2000007629395
chr2L	16368000	16371000	chr2L	16321000	16323000	0
chr2L	16371000	16374000	chr2L	16321000	16323000	-37.9000015258789
chr2L	16374000	16377000	chr2L	16321000	16323000	-38.0999984741211
chr2L	16377000	16380000	chr2L	16321000	16323000	0
chr2L	16380000	16383000	chr2L	16321000	16323000	-31.5
chr2L	16383000	16386000	chr2L	16321000	16323000	-36.7999992370605
chr2L	16386000	16389000	chr2L	16321000	16323000	-40.7000007629395
chr2L	16389000	16392000	chr2L	16321000	16323000	-35.0499992370605
chr2L	16392000	16395000	chr2L	16321000	16323000	-30.2999992370605
chr2L	16395000	16398000	chr2L	16321000	16323000	0
chr2L	16398000	16401000	chr2L	16321000	16323000	0
chr2L	16401000	16404000	chr2L	16321000	16323000	-38.3571434020996
chr2L	16404000	16407000	chr2L	16321000	16323000	-38.2999992370605
chr2L	16407000	16410000	chr2L	16321000	16323000	-39.5
chr2L	16410000	16413000	chr2L	16321000	16323000	-41.2999992370605
chr2L	16413000	16416000	chr2L	16321000	16323000	0
chr2L	16416000	16419000	chr2L	16321000	16323000	-44.2999992370605
chr2L	16419000	16422000	chr2L	16321000	16323000	0
chr2L	16422000	16425000	chr2L	16321000	16323000	0
chr2L	16425000	16428000	chr2L	16321000	16323000	-45.9000015258789
chr2L	16428000	16431000	chr2L	16321000	16323000	-39.0999984741211
chr2L	16431000	16434000	chr2L	16321000	16323000	0
chr2L	16434000	16437000	chr2L	16321000	16323000	-24.3999996185303
chr2L	16437000	16440000	chr2L	16321000	16323000	-18.6000003814697
chr2L	16440000	16443000	chr2L	16321000	16323000	-15.6000003814697
chr2L	16443000	16446000	chr2L	16321000	16323000	0
