chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	34.4000015258789
chr2L	16323000	16326000	chr2L	16321000	16323000	24
chr2L	16326000	16329000	chr2L	16321000	16323000	8.45365905761719
chr2L	16329000	16332000	chr2L	16321000	16323000	-11.5894737243652
chr2L	16332000	16335000	chr2L	16321000	16323000	-11.2863636016846
chr2L	16335000	16338000	chr2L	16321000	16323000	-18.8814811706543
chr2L	16338000	16341000	chr2L	16321000	16323000	-11.2580642700195
chr2L	16341000	16344000	chr2L	16321000	16323000	-13.4384613037109
chr2L	16344000	16347000	chr2L	16321000	16323000	-12.1904764175415
chr2L	16347000	16350000	chr2L	16321000	16323000	-9.53999996185303
chr2L	16350000	16353000	chr2L	16321000	16323000	-18.5166664123535
chr2L	16353000	16356000	chr2L	16321000	16323000	-22.3133335113525
chr2L	16356000	16359000	chr2L	16321000	16323000	-31.4333343505859
chr2L	16359000	16362000	chr2L	16321000	16323000	-46.060001373291
chr2L	16362000	16365000	chr2L	16321000	16323000	-47.5
chr2L	16365000	16368000	chr2L	16321000	16323000	-50.2000007629395
chr2L	16368000	16371000	chr2L	16321000	16323000	-59.2000007629395
chr2L	16371000	16374000	chr2L	16321000	16323000	-59.6666679382324
chr2L	16374000	16377000	chr2L	16321000	16323000	-53
chr2L	16377000	16380000	chr2L	16321000	16323000	-55.4000015258789
chr2L	16380000	16383000	chr2L	16321000	16323000	-53.75
chr2L	16383000	16386000	chr2L	16321000	16323000	-54.7999992370605
chr2L	16386000	16389000	chr2L	16321000	16323000	-51
chr2L	16389000	16392000	chr2L	16321000	16323000	-49.939998626709
chr2L	16392000	16395000	chr2L	16321000	16323000	-47.0750007629395
chr2L	16395000	16398000	chr2L	16321000	16323000	-42.5
chr2L	16398000	16401000	chr2L	16321000	16323000	-39.5
chr2L	16401000	16404000	chr2L	16321000	16323000	-39.3800010681152
chr2L	16404000	16407000	chr2L	16321000	16323000	-49.125
chr2L	16407000	16410000	chr2L	16321000	16323000	-53.6666679382324
chr2L	16410000	16413000	chr2L	16321000	16323000	0
chr2L	16413000	16416000	chr2L	16321000	16323000	-51.25
chr2L	16416000	16419000	chr2L	16321000	16323000	-45.7000007629395
chr2L	16419000	16422000	chr2L	16321000	16323000	-47.9000015258789
chr2L	16422000	16425000	chr2L	16321000	16323000	-45.2999992370605
chr2L	16425000	16428000	chr2L	16321000	16323000	-44.0999984741211
chr2L	16428000	16431000	chr2L	16321000	16323000	-39.0999984741211
chr2L	16431000	16434000	chr2L	16321000	16323000	-35.9000015258789
chr2L	16434000	16437000	chr2L	16321000	16323000	-28.8999996185303
chr2L	16437000	16440000	chr2L	16321000	16323000	-32.7999992370605
chr2L	16440000	16443000	chr2L	16321000	16323000	-31.6000003814697
chr2L	16443000	16446000	chr2L	16321000	16323000	-33.0999984741211
chr2L	16446000	16449000	chr2L	16321000	16323000	-34.8333320617676
chr2L	16449000	16452000	chr2L	16321000	16323000	-35.5666694641113
chr2L	16452000	16455000	chr2L	16321000	16323000	-34.9500007629395
chr2L	16455000	16458000	chr2L	16321000	16323000	-18.5750007629395
chr2L	16458000	16461000	chr2L	16321000	16323000	-12.3500003814697
chr2L	16461000	16464000	chr2L	16321000	16323000	1.95555555820465
chr2L	16464000	16467000	chr2L	16321000	16323000	-11.7333335876465
chr2L	16467000	16470000	chr2L	16321000	16323000	-14.2799997329712
chr2L	16470000	16473000	chr2L	16321000	16323000	-11.2250003814697
chr2L	16473000	16476000	chr2L	16321000	16323000	-11.8333330154419
chr2L	16476000	16479000	chr2L	16321000	16323000	-11.125
