chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	22.8875007629395
chr2L	16323000	16326000	chr2L	16321000	16323000	26.1248359680176
chr2L	16326000	16329000	chr2L	16321000	16323000	-2.18484854698181
chr2L	16329000	16332000	chr2L	16321000	16323000	-39.3307685852051
chr2L	16332000	16335000	chr2L	16321000	16323000	-47.027587890625
chr2L	16335000	16338000	chr2L	16321000	16323000	-44.0400009155273
chr2L	16338000	16341000	chr2L	16321000	16323000	-36.0391311645508
chr2L	16341000	16344000	chr2L	16321000	16323000	-33.6833343505859
chr2L	16344000	16347000	chr2L	16321000	16323000	-24.0214290618896
chr2L	16347000	16350000	chr2L	16321000	16323000	-16.4521732330322
chr2L	16350000	16353000	chr2L	16321000	16323000	-14.9449996948242
chr2L	16353000	16356000	chr2L	16321000	16323000	-24.7124996185303
chr2L	16356000	16359000	chr2L	16321000	16323000	-38.5999984741211
chr2L	16359000	16362000	chr2L	16321000	16323000	-53.4749984741211
chr2L	16362000	16365000	chr2L	16321000	16323000	-62.1999969482422
chr2L	16365000	16368000	chr2L	16321000	16323000	-63
chr2L	16368000	16371000	chr2L	16321000	16323000	-63.533332824707
chr2L	16371000	16374000	chr2L	16321000	16323000	-64.5500030517578
chr2L	16374000	16377000	chr2L	16321000	16323000	-68.4800033569336
chr2L	16377000	16380000	chr2L	16321000	16323000	-69.0999984741211
chr2L	16380000	16383000	chr2L	16321000	16323000	-66.8000030517578
chr2L	16383000	16386000	chr2L	16321000	16323000	-70.5
chr2L	16386000	16389000	chr2L	16321000	16323000	-68.2666625976562
chr2L	16389000	16392000	chr2L	16321000	16323000	0
chr2L	16392000	16395000	chr2L	16321000	16323000	-67.8666687011719
chr2L	16395000	16398000	chr2L	16321000	16323000	-69.3999938964844
chr2L	16398000	16401000	chr2L	16321000	16323000	0
chr2L	16401000	16404000	chr2L	16321000	16323000	-69.8666687011719
chr2L	16404000	16407000	chr2L	16321000	16323000	-65.3333358764648
chr2L	16407000	16410000	chr2L	16321000	16323000	-61.1333351135254
chr2L	16410000	16413000	chr2L	16321000	16323000	-60.2000007629395
chr2L	16413000	16416000	chr2L	16321000	16323000	-59.2000007629395
chr2L	16416000	16419000	chr2L	16321000	16323000	-57.3499984741211
chr2L	16419000	16422000	chr2L	16321000	16323000	-56.3999977111816
chr2L	16422000	16425000	chr2L	16321000	16323000	-54.9000015258789
chr2L	16425000	16428000	chr2L	16321000	16323000	-57.1333351135254
chr2L	16428000	16431000	chr2L	16321000	16323000	-50.7000007629395
chr2L	16431000	16434000	chr2L	16321000	16323000	-50.9749984741211
chr2L	16434000	16437000	chr2L	16321000	16323000	-48.3499984741211
chr2L	16437000	16440000	chr2L	16321000	16323000	-40.0800018310547
chr2L	16440000	16443000	chr2L	16321000	16323000	-35.0200004577637
chr2L	16443000	16446000	chr2L	16321000	16323000	-32.1500015258789
chr2L	16446000	16449000	chr2L	16321000	16323000	-30.4200000762939
chr2L	16449000	16452000	chr2L	16321000	16323000	-32.5799980163574
chr2L	16452000	16455000	chr2L	16321000	16323000	-31.5
chr2L	16455000	16458000	chr2L	16321000	16323000	-31.3666667938232
chr2L	16458000	16461000	chr2L	16321000	16323000	-36.4000015258789
chr2L	16461000	16464000	chr2L	16321000	16323000	0
chr2L	16464000	16467000	chr2L	16321000	16323000	-36.0999984741211
chr2L	16467000	16470000	chr2L	16321000	16323000	-32.8333320617676
chr2L	16470000	16473000	chr2L	16321000	16323000	-23.1666660308838
chr2L	16473000	16476000	chr2L	16321000	16323000	-21.8500003814697
chr2L	16476000	16479000	chr2L	16321000	16323000	-12.4000005722046
chr2L	16479000	16482000	chr2L	16321000	16323000	5.69999980926514
chr2L	16482000	16485000	chr2L	16321000	16323000	10.8000001907349
chr2L	16485000	16488000	chr2L	16321000	16323000	17.2999992370605
chr2L	16488000	16491000	chr2L	16321000	16323000	20.3500003814697
chr2L	16491000	16494000	chr2L	16321000	16323000	23.5200004577637
chr2L	16494000	16497000	chr2L	16321000	16323000	23
chr2L	16497000	16500000	chr2L	16321000	16323000	23.9400005340576
chr2L	16500000	16503000	chr2L	16321000	16323000	26.4400005340576
chr2L	16503000	16506000	chr2L	16321000	16323000	24.1499996185303
chr2L	16506000	16509000	chr2L	16321000	16323000	16.216667175293
chr2L	16509000	16512000	chr2L	16321000	16323000	15.3000001907349
chr2L	16321000	16323000	chr2L	16323000	16326000	26.1248359680176
chr2L	16323000	16326000	chr2L	16323000	16326000	20.4857139587402
chr2L	16326000	16329000	chr2L	16323000	16326000	0.88048779964447
chr2L	16329000	16332000	chr2L	16323000	16326000	-17.2180328369141
chr2L	16332000	16335000	chr2L	16323000	16326000	-26.0149993896484
chr2L	16335000	16338000	chr2L	16323000	16326000	-24.5057144165039
chr2L	16338000	16341000	chr2L	16323000	16326000	-19.1590900421143
chr2L	16341000	16344000	chr2L	16323000	16326000	-18.1869564056396
chr2L	16344000	16347000	chr2L	16323000	16326000	7.72916650772095
chr2L	16347000	16350000	chr2L	16323000	16326000	17.9285717010498
chr2L	16350000	16353000	chr2L	16323000	16326000	12.1218748092651
chr2L	16353000	16356000	chr2L	16323000	16326000	-1.875
chr2L	16356000	16359000	chr2L	16323000	16326000	-28.8538455963135
chr2L	16359000	16362000	chr2L	16323000	16326000	-48.0222244262695
chr2L	16362000	16365000	chr2L	16323000	16326000	-56.9500007629395
chr2L	16365000	16368000	chr2L	16323000	16326000	-59.6399993896484
chr2L	16368000	16371000	chr2L	16323000	16326000	-60.2000007629395
chr2L	16371000	16374000	chr2L	16323000	16326000	-62.1333351135254
chr2L	16374000	16377000	chr2L	16323000	16326000	-65.2600021362305
chr2L	16377000	16380000	chr2L	16323000	16326000	-68.8000030517578
chr2L	16380000	16383000	chr2L	16323000	16326000	-66.5
chr2L	16383000	16386000	chr2L	16323000	16326000	-71.1999969482422
chr2L	16386000	16389000	chr2L	16323000	16326000	-68.2333297729492
chr2L	16389000	16392000	chr2L	16323000	16326000	-65.7999954223633
chr2L	16392000	16395000	chr2L	16323000	16326000	-66.4000015258789
chr2L	16395000	16398000	chr2L	16323000	16326000	-70.5599975585938
chr2L	16398000	16401000	chr2L	16323000	16326000	-67.6999969482422
chr2L	16401000	16404000	chr2L	16323000	16326000	-66.5999984741211
chr2L	16404000	16407000	chr2L	16323000	16326000	-65.2399978637695
chr2L	16407000	16410000	chr2L	16323000	16326000	-63.5999984741211
chr2L	16410000	16413000	chr2L	16323000	16326000	-59.1999969482422
chr2L	16413000	16416000	chr2L	16323000	16326000	-57.1666679382324
chr2L	16416000	16419000	chr2L	16323000	16326000	-56.4000015258789
chr2L	16419000	16422000	chr2L	16323000	16326000	-53.2666664123535
chr2L	16422000	16425000	chr2L	16323000	16326000	-53.3000030517578
chr2L	16425000	16428000	chr2L	16323000	16326000	-52.3166656494141
chr2L	16428000	16431000	chr2L	16323000	16326000	-46
chr2L	16431000	16434000	chr2L	16323000	16326000	-43.9799995422363
chr2L	16434000	16437000	chr2L	16323000	16326000	-42.7000007629395
chr2L	16437000	16440000	chr2L	16323000	16326000	-42.3400001525879
chr2L	16440000	16443000	chr2L	16323000	16326000	-37.2333335876465
chr2L	16443000	16446000	chr2L	16323000	16326000	-35.3666687011719
chr2L	16446000	16449000	chr2L	16323000	16326000	-32.966667175293
chr2L	16449000	16452000	chr2L	16323000	16326000	-31.7333335876465
chr2L	16452000	16455000	chr2L	16323000	16326000	-31.3799991607666
chr2L	16455000	16458000	chr2L	16323000	16326000	-30.6499996185303
chr2L	16458000	16461000	chr2L	16323000	16326000	-31.2600002288818
chr2L	16461000	16464000	chr2L	16323000	16326000	-30.1800003051758
chr2L	16464000	16467000	chr2L	16323000	16326000	-30.3000011444092
chr2L	16467000	16470000	chr2L	16323000	16326000	0
chr2L	16470000	16473000	chr2L	16323000	16326000	-21.6000003814697
chr2L	16473000	16476000	chr2L	16323000	16326000	-20.466667175293
chr2L	16476000	16479000	chr2L	16323000	16326000	-15.6000003814697
chr2L	16479000	16482000	chr2L	16323000	16326000	6.19999980926514
chr2L	16482000	16485000	chr2L	16323000	16326000	11.9400005340576
chr2L	16485000	16488000	chr2L	16323000	16326000	17.3833332061768
chr2L	16488000	16491000	chr2L	16323000	16326000	22.1200008392334
chr2L	16491000	16494000	chr2L	16323000	16326000	22.5666675567627
chr2L	16494000	16497000	chr2L	16323000	16326000	25
chr2L	16497000	16500000	chr2L	16323000	16326000	27.8500003814697
chr2L	16500000	16503000	chr2L	16323000	16326000	26.3999996185303
chr2L	16503000	16506000	chr2L	16323000	16326000	23.7999992370605
